dateff,mktrf,smb,hml,rf,umd
30-04-02,-0.052,0.0594,0.0393,0.0015,0.0796
31-05-02,-0.0138,-0.0321,0.0169,0.0014,0.0297
28-06-02,-0.0721,0.0426,0.0013,0.0013,0.0615
31-07-02,-0.0818,-0.053,-0.0341,0.0015,0.0334
30-08-02,0.005,-0.0244,0.0249,0.0014,0.0177
30-09-02,-0.1035,0.0257,0.0131,0.0014,0.0909
31-10-02,0.0784,-0.029,-0.0546,0.0014,-0.053
29-11-02,0.0596,0.0284,-0.0115,0.0012,-0.1617
31-12-02,-0.0576,0,0.0225,0.0011,0.0965
31-01-03,-0.0257,0.0139,-0.0093,0.001,0.0162
28-02-03,-0.0188,-0.0034,-0.0146,0.0009,0.0125
31-03-03,0.0109,0.0089,-0.0209,0.001,0.0161
30-04-03,0.0822,0.0057,0.0103,0.001,-0.0946
30-05-03,0.0605,0.047,-0.003,0.0009,-0.1077
30-06-03,0.0142,0.0167,0.0066,0.001,-0.0106
31-07-03,0.0235,0.0525,-0.0115,0.0007,-0.0031
29-08-03,0.0234,0.026,0.0203,0.0007,-0.0056
30-09-03,-0.0124,0.0079,0.0002,0.0008,-0.0019
31-10-03,0.0608,0.0268,0.0176,0.0007,0.0373
28-11-03,0.0135,0.0201,0.0186,0.0007,0.0162
31-12-03,0.0429,-0.0301,0.0242,0.0008,-0.0571
30-01-04,0.0215,0.028,0.0197,0.0007,0.026
27-02-04,0.014,-0.0143,0.0049,0.0006,-0.0109
31-03-04,-0.0132,0.0175,0.0021,0.0009,0.0021
30-04-04,-0.0183,-0.0206,-0.0262,0.0008,-0.0539
28-05-04,0.0117,-0.0021,-0.0039,0.0006,0.0161
30-06-04,0.0186,0.0226,0.0138,0.0008,0.021
30-07-04,-0.0406,-0.038,0.041,0.001,-0.0229
31-08-04,0.0008,-0.0163,0.0103,0.0011,-0.0155
30-09-04,0.016,0.0303,-0.0025,0.0011,0.0524
29-10-04,0.0143,0.0031,-0.0062,0.0011,-0.0152
30-11-04,0.0454,0.0391,0.0179,0.0015,0.0323
31-12-04,0.0343,0.0012,-0.0006,0.0016,-0.0284
31-01-05,-0.0276,-0.0151,0.0197,0.0016,0.0321
28-02-05,0.0189,-0.0051,0.0163,0.0016,0.0316
31-03-05,-0.0197,-0.0139,0.0158,0.0021,0.0054
29-04-05,-0.0261,-0.0399,-0.0034,0.0021,-0.0085
31-05-05,0.0365,0.0289,-0.0081,0.0024,0.0043
30-06-05,0.0057,0.0262,0.0262,0.0023,0.0205
29-07-05,0.0392,0.0293,-0.0051,0.0024,-0.0001
31-08-05,-0.0122,-0.0092,0.0127,0.003,0.0227
30-09-05,0.0049,-0.0058,0.0077,0.0029,0.0346
31-10-05,-0.0202,-0.0121,0.0023,0.0027,-0.0128
