,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
201610,-8.2989,-5.0777,-3.0494,-2.1937,-2.2689,0.8581
201611,8.6248,12.3018,14.6652,1.5412,5.1079,12.0304
201612,-0.4947,2.661,4.374,1.2064,1.7103,3.3776
201701,2.096,-0.1804,-0.5447,3.2314,0.6452,0.3014
201702,3.4968,0.9454,0.2304,4.2212,2.1831,3.8915
201703,2.2696,-0.2842,-0.5083,0.9776,-0.4433,-2.6534
201704,1.672,1.5137,0.7755,1.9134,0.5612,-0.9675
201705,-0.9702,-1.7318,-3.958,2.7797,-0.3744,-1.8372
201706,4.6884,2.9501,3.0939,-0.2536,0.4683,3.9591
201707,0.7253,0.5303,0.6299,2.4833,1.2706,1.9965
201708,-0.5836,-2.2634,-2.5738,1.2131,-0.5656,-1.4388
201709,5.6626,8.0957,8.1999,1.1781,2.5279,4.6351
201710,0.294,0.2774,0.7813,3.3525,0.9551,2.6743
201711,2.3257,2.557,2.4056,3.2476,2.8852,2.918
201712,0.784,-0.7678,-0.0477,0.783,1.0771,1.8438
201801,3.1791,3.0154,1.6744,6.4839,5.0883,5.182
201802,-3.1659,-3.7552,-3.9591,-2.6219,-5.0893,-4.3348
201803,1.0425,0.7803,1.7076,-2.4275,-2.4637,-3.4167
201804,1.1165,1.1102,2.1825,0.531,-0.126,0.4709
201805,7.9367,7.2915,5.6723,3.5975,1.7614,-0.6015
201806,2.8208,0.2205,0.4501,1.1299,0.1404,-1.3295
201807,1.3179,2.187,1.0252,3.2271,3.3627,4.1289
201808,5.9885,2.9978,2.2924,5.0218,1.7618,0.3637
201809,-1.7933,-2.8763,-2.8142,0.6972,-0.0434,-1.141
201810,-13.5792,-11.2188,-9.1233,-8.6345,-5.0146,-6.4964
201811,1.0519,2.014,0.3911,1.2304,2.0956,2.1465
201812,-12.3709,-12.0294,-12.8474,-8.4534,-9.8866,-11.1119
