date,permno,permco,shrcd,ret,vol,shrout,prc,navm,dscnt
1998-03-31,77073.0,29078.0,14.0,-0.00754140131175518,3964.0,11007.0,13.71875,14.54,0.0387608966376089
1998-04-30,77094.5,29080.0,14.0,-0.00897297263145447,3637.0,11007.0,13.375,14.63,0.0515241882041087
1998-05-31,77125.0,29114.0,14.0,0.00348557345569134,3131.0,11057.0,13.4375,,
1998-06-30,77131.0,29116.0,14.0,0.00987978186458349,3553.0,11151.0,13.125,14.41,0.0486161689730517
1998-07-31,77131.0,29117.0,14.0,0.00516129052266479,3187.0,11151.0,13.375,14.34,0.0411646586345381
1998-08-31,77131.0,29117.0,14.0,-0.0220176987349987,3993.0,11151.0,11.875,13.53,0.0778076463560334
1998-09-30,77132.0,29119.0,14.0,0.038449747487902655,3942.0,11122.5,12.3125,13.11,0.0417817679558011
1998-10-31,77132.0,29119.0,14.0,0.0176051780581474,3701.0,11151.0,12.625,,
1998-11-30,77302.0,29358.0,14.0,0.0181187223643064,3523.0,11073.0,12.5625,13.36,0.0222521915037087
1998-12-31,77315.0,29362.0,14.0,0.00142635649535805,3779.0,11257.0,12.25,13.38,0.0217391304347826
1999-01-31,77377.0,29422.0,14.0,-0.00675675692036748,3634.0,11073.0,12.625,,
1999-02-28,77377.0,29431.0,14.0,0.0,3195.0,11042.0,12.625,,
1999-03-31,77377.0,29431.0,14.0,0.000905660388525575,3621.0,11026.0,12.375,13.4,0.0413533834586466
1999-04-30,77458.0,29442.0,14.0,0.00489437161013484,3607.0,11042.0,12.8125,13.74,0.0497448979591837
1999-05-31,77458.0,29444.0,14.0,-0.0130985714495182,3586.0,11042.0,12.6875,,
1999-06-30,77460.0,29444.0,14.0,0.000875912432093173,3883.0,11009.0,12.6875,13.27,0.0497076023391814
1999-07-31,77460.0,29445.0,14.0,-0.00360000017099083,3362.0,11009.0,12.5625,,
1999-08-31,77466.0,29446.0,14.0,-0.0229959506541491,3669.0,11007.0,12.1875,12.93,0.0651503469545105
1999-09-30,77468.0,29454.0,14.0,-0.021834060549736,3713.0,10834.0,11.75,12.8,0.084425597532768
1999-10-31,77469.0,29454.0,14.0,-0.0173292309045792,3777.0,10816.0,11.5,,
1999-11-30,77469.0,29454.0,14.0,-0.014388489536941,5382.0,10834.0,11.3125,12.64,0.116561181434599
1999-12-31,77469.0,29454.0,14.0,-0.0113793099299073,9512.5,10977.0,11.25,12.7,0.125190648757738
2000-01-31,77468.0,29454.0,14.0,0.0235087722539902,4734.0,10816.0,11.5,12.59,0.101068999028183
2000-02-29,77468.0,29454.0,14.0,0.00578571436926723,4023.0,11008.0,11.375,12.91,0.110469448584203
2000-03-31,77468.0,29447.0,14.0,0.00615384615957737,4752.0,11246.0,11.375,13.035,0.126732101616628
2000-04-30,77466.5,29446.0,14.0,-0.00427175872027874,3304.0,11307.0,11.1875,,
2000-05-31,77467.0,29447.0,14.0,-0.00294915237464011,3709.0,11362.0,11.0625,12.32,0.0990990990990992
2000-06-30,77467.0,29447.0,14.0,0.0488599352538586,3543.0,11362.0,11.5625,12.62,0.0891959798994974
2000-07-31,77467.0,29447.0,14.0,0.0230323653668165,2881.0,11319.0,11.625,12.86,0.0876585217136504
2000-08-31,77467.0,29446.5,14.0,0.0245984252542257,3356.0,11362.0,11.9375,12.63,0.0685096153846154
2000-09-30,77467.0,29447.0,14.0,-0.0112903229892254,3031.0,11340.5,11.625,,
2000-10-31,77467.0,29447.0,14.0,-0.0256637167185545,3283.0,11340.5,11.3125,12.58,0.0992762743864066
2000-11-30,77467.0,29447.0,14.0,-0.00941176433116198,3442.0,11319.0,11.0,12.58,0.112215909090909
2000-12-31,77468.0,29454.0,14.0,0.0458461530506611,5026.0,11362.0,11.5625,,
2001-01-31,77469.0,29454.0,14.0,0.0762020424008369,4605.0,11307.0,12.4399995803833,12.96,0.0517039136516781
2001-02-28,77548.0,29460.0,14.0,-0.00863330997526646,2874.0,11176.0,11.9300003051758,12.73,0.0549363148440222
2001-03-31,77548.0,29460.0,14.0,-0.0126156024634838,3209.0,11307.0,11.8599996566772,,
2001-04-30,77548.0,29460.0,14.0,0.00215048436075449,2592.0,11319.0,11.8000001907349,12.49,0.0534653364628455
2001-05-31,77549.0,29461.0,14.0,0.0130293471738696,2998.0,11362.0,11.8800001144409,13.11,0.0586182992939174
2001-06-30,77573.0,29465.0,14.0,0.0136520378291607,2682.0,11362.0,12.080000400543199,,
2001-07-31,77573.0,29465.0,14.0,0.00636077672243118,2738.0,11241.0,12.1999998092651,13.19,0.060489035941459
2001-08-31,77590.0,29479.0,14.0,0.0220170747488737,2980.0,11326.0,12.3500003814697,12.34,0.0284926751080682
2001-09-30,77591.0,29483.0,14.0,-0.0351589024066925,2870.0,11362.0,11.8100004196167,,
2001-10-31,77607.0,29495.0,14.0,0.0188810899853706,3119.0,11369.0,12.1499996185303,12.655,0.050536972016981
2001-11-30,77609.0,29496.0,14.0,0.012749080546200251,3253.0,11384.0,12.3400001525879,12.75,0.0421536613795775
2001-12-31,77638.0,29498.0,14.0,-0.00769232446327806,3370.0,11434.0,12.3500003814697,13.03,0.0526939017169923
2002-01-31,77638.0,29498.0,14.0,0.0307076144963503,3057.0,11525.5,12.7799997329712,13.19,0.0225806697722404
