Dates	Open Interest (All)	Noncommercial Positions-Long (All)	Noncommercial Positions-Short (All)	Noncommercial Positions-Spreading (All)	Commercial Positions-Long (All)	Commercial Positions-Short (All)	 Total Reportable Positions-Long (All)	Total Reportable Positions-Short (All)	Nonreportable Positions-Long (All)	Nonreportable Positions-Short (All)			NCMNET	COMNET	TOTNET	NONNET
14-03-95	248539	16211	28065	3834	170034	137483	190079	169382	58460	79157			-11854	32551	20697	-20697
21-03-95	197941	14742	26917	127	144691	110699	159560	137743	38381	60198			-12175	33992	21817	-21817
28-03-95	199904	14703	28416	726	143332	113225	158761	142367	41143	57537			-13713	30107	16394	-16394
04-04-95	202012	15510	29454	1974	143132	113457	160616	144885	41396	57127			-13944	29675	15731	-15731
11-04-95	207734	13981	31488	2243	149673	114639	165897	148370	41837	59364			-17507	35034	17527	-17527
18-04-95	215123	14015	35509	3227	154016	113942	171258	152678	43865	62445			-21494	40074	18580	-18580
25-04-95	214212	13457	33034	3923	152597	114637	169977	151594	44235	62618			-19577	37960	18383	-18383
02-05-95	212708	14903	33089	3952	149140	114597	167995	151638	44713	61070			-18186	34543	16357	-16357
09-05-95	222645	15083	35095	5161	155558	119022	175802	159278	46843	63367			-20012	36536	16524	-16524
16-05-95	225257	15160	34634	5472	157331	122405	177963	162511	47294	62746			-19474	34926	15452	-15452
23-05-95	221594	13570	38514	4296	154580	113665	172446	156475	49148	65119			-24944	40915	15971	-15971
30-05-95	221375	11633	41883	4982	152419	109664	169034	156529	52341	64846			-30250	42755	12505	-12505
06-06-95	237748	11480	44279	2904	167005	121259	181389	168442	56359	69306			-32799	45746	12947	-12947
13-06-95	250698	10982	43636	2866	175215	128740	189063	175242	61635	75456			-32654	46475	13821	-13821
20-06-95	202202	12084	36421	126	149999	110637	162209	147184	39993	55018			-24337	39362	15025	-15025
27-06-95	209129	11980	34074	5	153625	119255	165610	153334	43519	55795			-22094	34370	12276	-12276
03-07-95	201433	12400	31304	5	148123	121811	160528	153120	40905	48313			-18904	26312	7408	-7408
11-07-95	211511	19059	31337	305	145350	123803	164714	155445	46797	56066			-12278	21547	9269	-9269
18-07-95	211628	15385	30416	355	149268	124553	165008	155324	46620	56304			-15031	24715	9684	-9684
25-07-95	211563	13310	23617	751	151027	130352	165088	154720	46475	56843			-10307	20675	10368	-10368
01-08-95	211342	13468	26919	721	152493	128258	166682	155898	44660	55444			-13451	24235	10784	-10784
08-08-95	209831	12601	27812	437	151122	125506	164160	153755	45671	56076			-15211	25616	10405	-10405
15-08-95	210408	13827	28469	350	148976	123965	163153	152784	47255	57624			-14642	25011	10369	-10369
22-08-95	210708	14562	28843	1169	148832	124697	164563	154709	46145	55999			-14281	24135	9854	-9854
29-08-95	214355	12046	24989	2262	150788	128164	165096	155415	49259	58940			-12943	22624	9681	-9681
05-09-95	218893	14602	28784	1160	151382	131909	167144	161853	51749	57040			-14182	19473	5291	-5291
12-09-95	237031	15432	32008	1757	157977	139190	175166	172955	61865	64076			-16576	18787	2211	-2211
19-09-95	185375	9967	19757	530	136870	121321	147367	141608	38008	43767			-9790	15549	5759	-5759
26-09-95	186291	9157	18130	350	137384	122736	146891	141216	39400	45075			-8973	14648	5675	-5675
03-10-95	192924	10747	20274	1069	139860	123415	151676	144758	41248	48166			-9527	16445	6918	-6918
10-10-95	202153	9778	17307	788	146670	131843	157236	149938	44917	52215			-7529	14827	7298	-7298
17-10-95	202359	10783	17619	1417	143308	133900	155508	152936	46851	49423			-6836	9408	2572	-2572
24-10-95	203012	11335	15967	1494	144809	135092	157638	152553	45374	50459			-4632	9717	5085	-5085
31-10-95	214273	11691	16953	2043	155434	144109	169168	163105	45105	51168			-5262	11325	6063	-6063
07-11-95	212361	11713	17441	1821	154606	144464	168140	163726	44221	48635			-5728	10142	4414	-4414
14-11-95	217079	12320	18926	1965	157229	147239	171514	168130	45565	48949			-6606	9990	3384	-3384
21-11-95	226160	14697	19431	2445	157752	152432	174894	174308	51266	51852			-4734	5320	586	-586
28-11-95	234610	14488	20301	3461	160464	157127	178413	180889	56197	53721			-5813	3337	-2476	2476
05-12-95	235860	12190	20502	4864	155972	154911	173026	180277	62834	55583			-8312	1061	-7251	7251
12-12-95	246890	14274	15740	5893	159257	168174	179424	189807	67466	57083			-1466	-8917	-10383	10383
19-12-95	201612	9946	16734	2445	146934	140876	159325	160055	42287	41557			-6788	6058	-730	730
26-12-95	199094	10788	16172	3059	145350	143269	159197	162500	39897	36594			-5384	2081	-3303	3303
02-01-96	202155	10610	19526	876	146905	142684	158391	163086	43764	39069			-8916	4221	-4695	4695
09-01-96	208774	9295	21766	1127	149853	143045	160275	165938	48499	42836			-12471	6808	-5663	5663
16-01-96	206707	10060	22864	2034	145759	135593	157853	160491	48854	46216			-12804	10166	-2638	2638
23-01-96	199613	9148	24027	1770	144313	128996	155231	154793	44382	44820			-14879	15317	438	-438
30-01-96	200973	9043	21214	1415	144036	134087	154494	156716	46479	44257			-12171	9949	-2222	2222
06-02-96	204624	11257	21726	1405	144365	135290	157027	158421	47597	46203			-10469	9075	-1394	1394
13-02-96	217003	15409	20366	1165	145336	145666	161910	167197	55093	49806			-4957	-330	-5287	5287
20-02-96	215656	13864	17629	1436	146415	148372	161715	167437	53941	48219			-3765	-1957	-5722	5722
27-02-96	222350	12862	17766	1843	150931	154925	165636	174534	56714	47816			-4904	-3994	-8898	8898
05-03-96	223388	11513	22076	5517	147936	143475	164966	171068	58422	52320			-10563	4461	-6102	6102
12-03-96	234042	13434	17727	8364	146804	148019	168602	174110	65440	59932			-4293	-1215	-5508	5508
19-03-96	187367	10662	16551	1118	136748	127725	148528	145394	38839	41973			-5889	9023	3134	-3134
26-03-96	190027	5753	15721	1118	141747	132583	148618	149422	41409	40605			-9968	9164	-804	804
02-04-96	179980	4690	15678	671	132217	122095	137578	138444	42402	41536			-10988	10122	-866	866
09-04-96	178192	4330	14209	809	128988	118990	134127	134008	44065	44184			-9879	9998	119	-119
16-04-96	184203	5539	15172	299	136400	125555	142238	141026	41965	43177			-9633	10845	1212	-1212
23-04-96	187792	6947	13147	286	139964	133314	147197	146747	40595	41045			-6200	6650	450	-450
30-04-96	187488	6408	13738	283	138706	131214	145397	145235	42091	42253			-7330	7492	162	-162
07-05-96	196482	9357	17950	283	142392	131131	152032	149364	44450	47118			-8593	11261	2668	-2668
